Hyperparameter,Importance
n_layers,0.7026285364425094
n_neurons_l0,0.14837658696766193
learning_rate,0.07033689878980867
dropout_rate,0.03386274567789879
batch_size,0.0252121460045158
l2_reg,0.010527019238759634
l1_reg,0.009056066878845796
epochs,0.0
