Epoch,loss,val_loss
0,213.88235473632812,209.7583465576172
1,203.0377960205078,237.2170867919922
2,193.34133911132812,236.18399047851562
3,182.00241088867188,235.96774291992188
4,171.72068786621094,166.8103485107422
5,158.4873809814453,177.83489990234375
6,147.41751098632812,187.68313598632812
7,147.9068603515625,180.80157470703125
8,139.52752685546875,149.30238342285156
9,128.64178466796875,167.39614868164062
10,122.05290985107422,137.4436798095703
11,118.5650405883789,225.1824188232422
12,126.26449584960938,233.92788696289062
13,114.17240142822266,183.70510864257812
14,108.92005920410156,175.36837768554688
15,105.89765930175781,155.15283203125
16,101.50559997558594,118.86797332763672
17,102.24900817871094,144.46929931640625
18,104.22427368164062,138.75640869140625
19,97.4460220336914,128.37252807617188
20,96.8096923828125,104.88579559326172
21,93.18087005615234,119.84839630126953
22,91.68351745605469,111.87458801269531
23,92.30455780029297,132.16188049316406
24,94.88529968261719,125.13835144042969
25,89.61629486083984,115.04412841796875
26,87.77912902832031,128.9156494140625
27,87.66361236572266,118.12763977050781
28,89.49449157714844,147.76016235351562
29,83.78809356689453,215.33163452148438
30,92.61467742919922,146.35899353027344
31,85.24610900878906,134.5871124267578
32,89.72258758544922,141.82102966308594
33,80.81163024902344,110.01166534423828
34,83.12030029296875,92.93141174316406
35,79.94992065429688,113.87150573730469
36,79.53060150146484,99.63699340820312
37,77.00593566894531,98.05856323242188
38,79.018798828125,82.82313537597656
39,75.98187255859375,93.45447540283203
40,80.43486785888672,99.43177795410156
41,81.07666778564453,114.45970153808594
42,79.40584564208984,86.95909881591797
43,72.88782501220703,101.84893035888672
44,80.375732421875,84.91814422607422
45,78.0262222290039,77.51374053955078
46,73.406494140625,83.47382354736328
47,73.83979797363281,74.35669708251953
48,78.26251220703125,100.05882263183594
49,74.01872253417969,83.10183715820312
50,71.71105194091797,112.03825378417969
51,69.84793090820312,81.06669616699219
52,69.83245086669922,110.31006622314453
53,78.10176086425781,89.02741241455078
54,67.89552307128906,85.89022064208984
55,69.45013427734375,82.0797348022461
56,70.96399688720703,80.1156234741211
57,70.77474975585938,76.29055786132812
58,69.98770904541016,70.11681365966797
59,72.77913665771484,75.44210815429688
60,70.98689270019531,79.86882019042969
61,68.380859375,82.58540344238281
62,66.67274475097656,90.57843780517578
63,66.73908996582031,84.11656951904297
64,67.17571258544922,81.89692687988281
65,69.40153503417969,79.43609619140625
66,66.30210876464844,78.07281494140625
67,63.01424026489258,70.84214782714844
68,64.94975280761719,70.80450439453125
69,70.01344299316406,79.17910766601562
70,63.85403823852539,66.3982162475586
71,67.6439437866211,66.12063598632812
72,70.38467407226562,74.391357421875
73,70.90170288085938,70.1517562866211
74,70.5312728881836,77.04179382324219
75,66.39917755126953,84.79698181152344
76,62.92353057861328,98.05007934570312
77,65.78114318847656,94.0858383178711
78,61.430362701416016,82.49773406982422
79,65.74380493164062,79.57443237304688
80,65.07351684570312,82.69568634033203
81,64.85540771484375,79.79833984375
82,65.41842651367188,70.88702392578125
83,63.272457122802734,64.66971588134766
84,65.78839111328125,61.598731994628906
