batch_size,epochs,n_layers,dropout_rate,l1_reg,l2_reg,n_neurons_l0,n_neurons_l1,n_neurons_l2,n_neurons_l3,n_neurons_l4,learning_rate,trial_number,MAE_val,MAE_train,Best_MAE_val,Best_MAE_train
53,200,4,0.1,0.5,0.05,439,212.0,205.0,322.0,,0.007084026678584243,490,34.59700906665627,25.93119993930485,29.512697803171797,20.458022787577153
125,200,4,0.1,0.4,0.1,257,249.0,123.0,292.0,,0.005302991428319178,491,36.73219468099087,25.883324802822575,29.512697803171797,20.458022787577153
97,200,4,0.1,0.1,0.4,448,244.0,182.0,312.0,,0.016097072347565206,492,45.644717502947294,34.63407671541047,29.512697803171797,20.458022787577153
132,200,4,0.1,0.4,0.05,398,218.0,70.0,303.0,,0.010354600373274967,493,35.392472050450024,25.42063439607671,29.512697803171797,20.458022787577153
103,200,4,0.2,0.4,0.05,309,233.0,203.0,284.0,,0.0064467791228823125,494,37.57747842401149,29.64354611927156,29.512697803171797,20.458022787577153
157,200,4,0.1,0.4,0.05,427,270.0,175.0,330.0,,0.008162400008622752,495,45.20336703236163,33.87387782206043,29.512697803171797,20.458022787577153
112,200,4,0.1,0.4,0.4,406,226.0,346.0,275.0,,0.01380061709197678,496,38.84708213454232,26.581188889094896,29.512697803171797,20.458022787577153
119,200,4,0.4,0.05,0.05,420,234.0,193.0,294.0,,0.005703225113462801,497,41.387392356721406,30.25508262322546,29.512697803171797,20.458022787577153
124,200,4,0.1,0.4,0.05,467,208.0,201.0,100.0,,0.010041020656001294,498,41.83829733103031,31.803413965811266,29.512697803171797,20.458022787577153
167,200,4,0.1,0.4,0.05,442,431.0,289.0,136.0,,0.007377682879303885,499,34.15324904321197,24.21681032794814,29.512697803171797,20.458022787577153
110,200,4,0.1,0.4,0.4,432,63.0,132.0,310.0,,0.0003810556055125409,500,70.51887647676551,56.92612223435283,29.512697803171797,20.458022787577153
